,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
1224,CC(=O)CC(=O)NC1=CC=CC=C1,Inactive,0,True
1225,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl,Active,87,True
1234,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,Inactive,0,True
1243,CCOC(C)OCC,Inactive,0,True
1244,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,Active,42,True
1247,CC(=O)OC1CCC2(CC1(CCC3C2CC3(C)C)C)O,Inactive,0,True
1252,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O,Inactive,0,True
1256,CC(=O)OC(=O)C,Inactive,0,True
1258,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,Inactive,0,True
1264,CCCCCCC#CC1=CC(=C(C=C1C(N2CC(C3=CC=CC=C32)C)N4CC(C5=CC=CC=C54)C)OC)OC,Active,44,True
1266,CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C,Inactive,0,True
1267,CC1=C(C(=CC=C1)C)OCC(C)N.Cl,Inactive,0,True
1277,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,Active,86,True
1278,COC1=CC2=C(C=C1)NC=C2CCN.Cl,Inactive,0,True
1298,C[C@]12C(C=C[C@@]3(C1C([C@@]45C3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,Inactive,0,True
1307,COC1=C2C=CC(=O)OC2=C3C=COC3=C1,Active,42,True
1312,C1=C(OC(=C1)C(=O)NCC(=O)O)CO,Inactive,0,True
1317,COC1=CC2=C(C(=C1)OC)C(=O)C(=CO2)C3=CC=CC=C3,Active,41,True
1320,CC1CCC([C@@H](C1)O)C(C)C,Inactive,0,True
1324,C=CCCC#N,Inactive,0,True
1331,COC1=C(C=C(C=C1)C2C(CC3=C(O2)C(=C(C=C3OC)OC)I)O)OC,Active,84,True
1347,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.Cl,Inactive,0,True
